x [m],y [m],u [m/s],v [m/s],Vector type [-]
0.03632258996,0.04838907719,-0.02243209444,0.005379850976,2
0.03632258996,0.050359115,-0.02236305363,0.006496499293,1
0.03632258996,0.05232915282,0.0002510590421,0.0111258775,1
0.03632258996,0.05429919064,-0.00247018598,0.01077795681,1
0.03632258996,0.05626922846,-0.01488707773,0.0103674233,1
0.03632258996,0.05823927,-0.03966097161,0.006260427181,1
0.03632258996,0.06020930782,-0.05191041902,0.001114991959,1
0.03632258996,0.06217934564,-0.05016088858,-0.000126781888,1
0.03632258996,0.06414938718,-0.04857382923,-0.000623928383,1
0.03632258996,0.066119425,-0.04507616535,-0.001329288003,1
0.03632258996,0.06808946282,-0.03989224508,-0.0008828600985,1
0.03632258996,0.07005950063,-0.03851975501,-0.003314393573,1
0.03632258996,0.07202953845,-0.04071896523,-0.004239139613,1
0.03632258996,0.07399957627,-0.0476090461,0.0006598469336,1
0.03632258996,0.07596961409,-0.05155650899,0.00187249959,1
0.03632258996,0.07793965936,-0.05239816755,0.004116731696,1
0.03632258996,0.07990969718,-0.05013024062,0.008237960748,1
0.03632258996,0.08187973499,-0.05105436966,0.009688637219,1
0.03632258996,0.08384977281,-0.05135444924,0.008179446682,1
0.03632258996,0.08581981063,-0.05149619281,0.01016464923,1
0.03632258996,0.08778984845,-0.05193268135,0.01422182564,1
0.03632258996,0.08975988626,-0.04960623756,0.01974969916,1
0.03632258996,0.09172992408,-0.04925993457,0.0201323498,1
0.03632258996,0.0936999619,-0.04798253253,0.01905895583,1
0.03632258996,0.09567000717,-0.04778666422,0.01953557879,1
0.03632258996,0.09764004499,-0.04993269965,0.01185309514,1
0.03632258996,0.09961008281,-0.05012109503,0.003315833863,1
0.03632258996,0.1015801206,-0.04560754076,0.00218963786,1
0.03632258996,0.1035501584,-0.04438581318,-0.003136120038,1
0.03632258996,0.1055201963,-0.03985805437,-0.005535646342,1
0.03632258996,0.1074902341,-0.03140129521,-0.006361132953,1
0.03632258996,0.1094602719,-0.02559997886,-0.005271895789,1
0.03632258996,0.1114303172,-0.01782617159,-0.003548449138,2
0.03632258996,0.113400355,-0.01030901074,-0.002534803469,1
0.03632258996,0.1153703928,-0.009174342267,-0.004253651481,1
0.03632258996,0.1173404306,-0.001461046049,-0.001430120785,1
0.03829262778,0.04838907719,-0.02332814969,0.01076033525,2
0.03829262778,0.050359115,-0.02635133825,0.01356297079,1
0.03829262778,0.05232915282,0.0008784062229,0.01291064639,1
0.03829262778,0.05429919064,-0.0008276703302,0.009090592153,1
0.03829262778,0.05626922846,-0.01235888898,0.009964413941,1
0.03829262778,0.05823927,-0.03211804852,0.002939934842,1
0.03829262778,0.06020930782,-0.04778755829,-0.001838793047,1
0.03829262778,0.06217934564,-0.04814232886,-0.0009180597262,1
0.03829262778,0.06414938718,-0.04596760124,-0.000427170773,1
0.03829262778,0.066119425,-0.04452210292,-0.000678301265,1
0.03829262778,0.06808946282,-0.04383293539,0.0003408833873,1
0.03829262778,0.07005950063,-0.04239040241,0.0008121929131,1
0.03829262778,0.07202953845,-0.04385387897,-0.001134520047,1
0.03829262778,0.07399957627,-0.04613367096,-0.000808392535,1
0.03829262778,0.07596961409,-0.04775799438,0.001822379651,1
0.03829262778,0.07793965936,-0.04945429415,0.002130283508,1
0.03829262778,0.07990969718,-0.04979798943,0.001981206005,1
0.03829262778,0.08187973499,-0.05228461325,0.007301275153,1
0.03829262778,0.08384977281,-0.05399548635,0.007541108411,1
0.03829262778,0.08581981063,-0.05312277004,0.008919069543,1
0.03829262778,0.08778984845,-0.05152972788,0.01256738324,1
0.03829262778,0.08975988626,-0.05454660952,0.01668473706,1
0.03829262778,0.09172992408,-0.04860889539,0.0149647072,1
0.03829262778,0.0936999619,-0.04572771117,0.0150477374,1
0.03829262778,0.09567000717,-0.04682898894,0.01857157424,1
0.03829262778,0.09764004499,-0.04813026264,0.01174972765,1
0.03829262778,0.09961008281,-0.04666242376,0.004104068037,1
0.03829262778,0.1015801206,-0.04120891914,0.003787123598,1
0.03829262778,0.1035501584,-0.04029737413,0.001225127606,1
0.03829262778,0.1055201963,-0.03769101202,-0.0008360187057,1
0.03829262778,0.1074902341,-0.03119835071,-0.002008797834,1
0.03829262778,0.1094602719,-0.02684123069,-0.005755460355,1
0.03829262778,0.1114303172,-0.0148056224,-0.006567959674,1
0.03829262778,0.113400355,-0.01009361353,-0.00601816969,1
0.03829262778,0.1153703928,-0.01202919986,-0.005454954226,1
